scheme_name,min_sip,min_lumpsum,expense_ratio,fund_size_cr,fund_age_yr,fund_manager,sortino,alpha,sd,beta,sharpe,risk_level,amc_name,rating,category,sub_category,returns_1yr,returns_3yr,returns_5yr
HDFC Top 100 Fund,100,100,1.11,22139,10,Rahul Baijal,3.3,1.75,17.08,0.97,1.39,6,HDFC Mutual Fund,2,Equity,Large Cap Mutual Funds,6.6,28.6,11.9
HDFC Ultra Short Term Fund,100,100,0.34,13303,5,Anil Bamboli,4.46,2.7,0.64,1.1,1.93,3,HDFC Mutual Fund,4,Debt,Ultra Short Duration Funds,5.4,5.5,
HSBC Aggressive Hybrid Fund,500,5000,0.87,4636,10,Shriram Ramanathan,2.41,0.57,12.27,0.81,1.26,6,HSBC Mutual Fund,2,Hybrid,Aggressive Hybrid Mutual Funds,-1.2,19.5,8.1
HSBC Arbitrage Fund,500,5000,0.29,2344,9,Ritesh Jain,1.54,1.63,0.7,0.63,1.12,1,HSBC Mutual Fund,4,Hybrid,Arbitrage Mutual Funds,5.4,4.7,5.5
HSBC Asia Pacific (Ex Japan) DYF – Direct Growth,500,5000,1.29,8.4,9,Sonal Gupta,0.87,-,17.08,-,0.48,6,HSBC Mutual Fund,0,Other,FoFs Overseas,-4.2,13.6,5.7
HSBC Balanced Advantage Fund,500,5000,0.78,1511,10,Ritesh Jain,2.95,0.89,7.21,0.45,1.27,4,HSBC Mutual Fund,3,Hybrid,Dynamic Asset Allocation or Balanced Advantage,3.5,13.4,8
HSBC Banking and PSU Debt Fund,500,5000,0.23,3779,10,Jalpan Shah,0.64,5.62,2.39,3.36,0.47,3,HSBC Mutual Fund,1,Debt,Banking and PSU Mutual Funds,2.2,6,6.5
HSBC Business Cycles Fund,500,5000,1.42,535,9,Venugopal Manghat,3.13,2.69,17.41,0.97,1.46,6,HSBC Mutual Fund,0,Equity,Sectoral / Thematic Mutual Funds,7,28,8.7
HSBC Conservative Hybrid Fund,500,5000,1.34,122,10,Ritesh Jain,2.3,0.76,4.75,0.74,1.28,4,HSBC Mutual Fund,3,Hybrid,Conservative Hybrid Mutual Funds,2.3,10.3,7.5
HSBC Corporate Bond Fund,500,5000,0.35,157,2,Ritesh Jain,0.44,0.67,2.47,1.09,0.39,2,HSBC Mutual Fund,2,Debt,Corporate Bond Mutual Funds,1.7,32.4,13.3
HSBC Corporate Bond Fund,500,5000,0.29,6772,10,Shriram Ramanathan,0.67,1.19,3.55,1.68,0.47,3,HSBC Mutual Fund,1,Debt,Corporate Bond Mutual Funds,3.3,6.6,7.6
HSBC Credit Risk Fund,500,5000,0.85,130,10,Shriram Ramanathan,0.33,-1.87,3.73,-2.39,0.35,4,HSBC Mutual Fund,3,Debt,Credit Risk Funds,4.8,5.7,5.1
HSBC Dynamic Bond Fund,500,5000,0.29,200,10,Shriram Ramanathan,0.44,0.67,2.47,1.09,0.39,3,HSBC Mutual Fund,3,Debt,Dynamic Bond,4.7,5.4,6.8
HSBC ELSS Fund,500,500,1.16,3007,10,Cheenu Gupta,2.8,-0.03,16.03,0.91,1.33,6,HSBC Mutual Fund,1,Equity,ELSS Mutual Funds,-1.2,24.1,8
HSBC Equity Hybrid Fund,500,5000,1,474,4,Neelotpal Sahai,2.41,0.57,12.27,0.81,1.26,6,HSBC Mutual Fund,3,Hybrid,Aggressive Hybrid Mutual Funds,1.7,32.4,13.3
HSBC Equity Savings Fund,500,5000,0.62,150,10,Ritesh Jain,4.47,5.57,6.24,0.85,1.86,3,HSBC Mutual Fund,2,Hybrid,Equity Savings Mutual Funds,2.9,15.5,7.5
HSBC Flexi Cap Fund,500,5000,1.23,3097,10,Vihang Naik,2.92,0.36,16.25,0.94,1.38,6,HSBC Mutual Fund,2,Equity,Flexi Cap Funds,-1.2,26.4,9.2
HSBC Flexi Debt Fund,500,5000,0.94,54,10,Ritesh Jain,0.44,0.67,2.47,1.09,0.39,3,HSBC Mutual Fund,2,Debt,Dynamic Bond,1.7,32.4,13.3
HSBC Gilt Fund,500,5000,0.48,231,10,Jalpan Shah,0.49,0.51,2.94,0.64,0.41,3,HSBC Mutual Fund,3,Debt,Gilt Mutual Funds,5,5.4,7.1
HSBC Infrastructure Fund,500,5000,1.14,1476,10,Venugopal Manghat,3.69,10.03,16.32,0.6,1.78,6,HSBC Mutual Fund,2,Equity,Sectoral / Thematic Mutual Funds,11.3,33.6,9.3
HSBC Large & Mid Cap Fund,500,5000,1.08,1992,4,Neelotpal Sahai,3.02,1.39,15.85,0.91,1.4,6,HSBC Mutual Fund,2,Equity,Large & Mid Cap Funds,-0.6,25.6,
HSBC Large Cap Fund,500,5000,1.26,1405,10,Neelotpal Sahai,2.6,-2.34,16.62,0.97,1.18,6,HSBC Mutual Fund,2,Equity,Large Cap Mutual Funds,0,23.3,10.6
HSBC Liquid Fund,500,5000,0.12,12043,10,Kapil Punjabi,4.42,1.38,0.38,0.77,0.91,2,HSBC Mutual Fund,3,Debt,Liquid Mutual Funds,5.7,4.3,5.3
HSBC Low Duration Fund,500,5000,0.25,467,10,Shriram Ramanathan,0.63,0.3,2.32,-0.78,0.58,2,HSBC Mutual Fund,3,Debt,Low Duration Funds,5.2,5.6,5.8
HSBC Managed Solutions Conservative Fund,500,5000,0.54,34,9,Gautam Bhupal,0.86,-1.07,4.45,0.49,0.55,3,HSBC Mutual Fund,2,Other,FoFs Domestic,3.2,6.7,5.9
HSBC Managed Solutions Growth Fund,500,5000,1.06,34,9,Gautam Bhupal,3.05,1.87,13.16,0.9,1.4,6,HSBC Mutual Fund,2,Other,FoFs Domestic,0.6,22.2,9.2
HSBC Managed Solutions Moderate Fund,500,5000,0.76,58,9,Gautam Bhupal,2.81,0.67,10.91,0.74,1.31,5,HSBC Mutual Fund,2,Other,FoFs Domestic,1.2,19,8.7
HSBC Medium Duration Fund,500,5000,0.4,643,8,Shriram Ramanathan,0.84,1.93,2.78,0.67,0.76,3,HSBC Mutual Fund,3,Debt,Medium Duration Funds,4.2,7,6.7
HSBC Medium to Long Duration Fund,500,5000,0.68,41,10,Jalpan Shah,0.11,-0.16,3.1,1.54,0.09,3,HSBC Mutual Fund,1,Debt,Medium to Long Duration Funds,2.7,4.5,6.5
HSBC Midcap Fund,500,5000,0.74,6980,10,Vihang Naik,3.33,-1.16,14.76,0.8,1.53,6,HSBC Mutual Fund,2,Equity,Mid Cap Mutual Funds,2.3,26.1,8.8
HSBC Money Market Fund,500,5000,0.25,716,10,Shriram Ramanathan,2.45,2.43,0.61,1.31,1.12,2,HSBC Mutual Fund,1,Debt,Money Market Funds,5.2,4.9,6
HSBC Overnight Fund,500,5000,0.1,2759,4,Kapil Punjabi,0.92,0.65,0.34,0.44,0.16,1,HSBC Mutual Fund,5,Debt,Overnight Mutual Funds,5.4,3.9,
HSBC Short Duration Fund,500,5000,0.27,3592,10,Shriram Ramanathan,1.18,4.85,1.72,2.63,0.78,2,HSBC Mutual Fund,2,Debt,Short Duration Funds,3.8,6,6.7
HSBC Small Cap Fund,500,5000,0.77,8625,9,Venugopal Manghat,4.16,9.87,17.95,0.82,2.08,6,HSBC Mutual Fund,3,Equity,Small Cap Mutual Funds,5.1,44.7,12.7
HSBC Tax Saver Equity Fund,500,5000,1.3,175,10,Gautam Bhupal,3.05,-1.65,16.52,0.96,1.26,6,HSBC Mutual Fund,2,Equity,ELSS Mutual Funds,-2.2,24.7,8.9
HSBC Ultra Short Duration Fund,500,5000,0.22,2279,3,Mahesh A Chhabria,3.5,2.48,0.54,1.17,1.69,2,HSBC Mutual Fund,3,Debt,Ultra Short Duration Funds,5.5,5.1,
HSBC Value Fund,500,5000,0.84,7781,10,Venugopal Manghat,3.18,6.92,17.01,0.96,1.69,6,HSBC Mutual Fund,3,Equity,Value Funds,6.8,33,11.6
ICICI Pru All Seasons Bond Fund,100,5000,0.62,6754,10,Manish Banthia,2.39,2.84,2.25,0.98,1.38,3,ICICI Prudential Mutual Fund,5,Debt,Dynamic Bond,6.5,7.5,8.2
ICICI Pru Asset Allocator Fund,1000,5000,0.18,18393,10,Dharmesh Kakkad,5.89,7.45,8.68,0.53,1.99,4,ICICI Prudential Mutual Fund,4,Other,FoFs Domestic,8.8,21.6,12.8
ICICI Pru Balanced Advantage Fund,100,500,0.91,44515,10,Sankaran Naren,5.59,5.34,8.33,0.54,1.84,5,ICICI Prudential Mutual Fund,4,Hybrid,Dynamic Asset Allocation or Balanced Advantage,6.7,19.7,10.4
ICICI Pru Banking & Financial Services – DirectGrowth,100,5000,1.1,5871,10,Roshan Chutkey,2.23,3.74,23.41,0.87,1.06,6,ICICI Prudential Mutual Fund,3,Equity,Sectoral / Thematic Mutual Funds,7,24.9,9.7
ICICI Pru Banking & PSU Debt Fund,100,500,0.38,7265,10,Rahul Goswami,2.64,4.03,1.75,1.21,1.37,2,ICICI Prudential Mutual Fund,5,Debt,Banking and PSU Mutual Funds,5.8,6.9,7.2
ICICI Pru BHARAT 22 FOF  – Direct Growth,1000,5000,0.08,89,5,Kayzad Eghlim,2.76,9.68,20.2,0.88,1.47,6,ICICI Prudential Mutual Fund,5,Other,FoFs Domestic,22.1,35,
ICICI Pru Bharat Consumption Fund,100,5000,1.54,1866,4,Sankaran Naren,3.37,4.95,11.73,0.6,1.6,6,ICICI Prudential Mutual Fund,3,Equity,Sectoral / Thematic Mutual Funds,10.2,22.7,
ICICI Pru Bluechip Fund,100,100,1.06,34198,10,Anish Tawakley,3.59,3.05,15.23,0.9,1.53,6,ICICI Prudential Mutual Fund,4,Equity,Large Cap Mutual Funds,4.4,28.2,12.3
ICICI Pru Bond Fund,100,5000,0.6,2223,10,Manish Banthia,1.2,1.58,2.69,1.26,0.72,3,ICICI Prudential Mutual Fund,3,Debt,Medium to Long Duration Funds,5.2,6.9,7.3
ICICI Pru Child Care Fund,100,5000,1.69,844,10,Manish Banthia,2.86,2.18,11.15,0.74,1.42,6,ICICI Prudential Mutual Fund,3,Solution Oriented,Childrens Funds,1,19.8,8.8
ICICI Pru Corporate Bond Fund,100,100,0.3,16998,10,Rahul Goswami,3.07,2.35,1.67,0.68,1.52,2,ICICI Prudential Mutual Fund,5,Debt,Corporate Bond Mutual Funds,5.8,7,7.3
ICICI Pru Credit Risk Fund,100,100,0.86,7584,10,Manish Banthia,3.18,3.97,1.59,0.42,2.15,4,ICICI Prudential Mutual Fund,4,Debt,Credit Risk Funds,5.8,8,8.1
ICICI Pru Debt Management Fund,100,100,0.41,141,10,Manish Banthia,3.01,2.07,1.61,0.53,1.38,3,ICICI Prudential Mutual Fund,4,Other,FoFs Domestic,5.8,6.7,7
ICICI Pru Dividend Yield Equity Fund,100,5000,0.66,1258,9,Mittul Kalawadia,5.06,10.39,15.42,0.83,1.94,6,ICICI Prudential Mutual Fund,0,Equity,Dividend Yield Funds,8.5,37.6,12.1
ICICI Pru Equity & Debt Fund,100,5000,1.2,21232,10,Sankaran Naren,4.15,9.56,14.26,0.84,1.75,6,ICICI Prudential Mutual Fund,5,Hybrid,Aggressive Hybrid Mutual Funds,6.8,30.6,14.3
ICICI Pru Equity – Arbitrage Fund,1000,5000,0.39,11272,10,Kayzad Eghlim,1.27,1.59,0.75,0.63,0.99,1,ICICI Prudential Mutual Fund,3,Hybrid,Arbitrage Mutual Funds,5.6,4.8,5.5
ICICI Pru Equity Savings Fund,100,5000,0.54,4936,8,Kayzad Eghlim,5.26,4.82,4.82,0.57,1.84,2,ICICI Prudential Mutual Fund,3,Hybrid,Equity Savings Mutual Funds,6.2,12.7,7.9
ICICI Pru Exports and Services Fund,1000,5000,1.76,1040,10,Sankaran Naren,4.35,6.7,14.06,0.78,1.78,6,ICICI Prudential Mutual Fund,0,Equity,Sectoral / Thematic Mutual Funds,5.7,30.7,11.4
ICICI Pru Floating Interest Fund,100,500,0.62,11650,10,Rahul Goswami,2.75,3.22,1.77,0.47,1.46,2,ICICI Prudential Mutual Fund,2,Debt,Floater Mutual Funds,6.3,7,7.2
ICICI Pru FMCG Fund,100,5000,1.44,1156,10,Priyanka Khandelwal,3.73,7.44,11.56,0.47,1.61,6,ICICI Prudential Mutual Fund,0,Equity,Sectoral / Thematic Mutual Funds,21.1,24.5,13.5
ICICI Pru Focused Equity Fund,100,5000,0.59,3920,10,Sankaran Naren,3.27,4.86,15.84,0.89,1.62,6,ICICI Prudential Mutual Fund,4,Equity,Focused Funds,6.1,31.2,13.4
ICICI Pru Gilt Fund,1000,5000,0.56,2692,10,Rahul Goswami,1.22,1.87,3.2,0.69,0.82,3,ICICI Prudential Mutual Fund,5,Debt,Gilt Mutual Funds,6.3,6.7,8.4
ICICI Pru Global Stable Equity Fund,1000,5000,1.26,111,10,Rohan Maru,1.69,-,13.7,-,0.9,6,ICICI Prudential Mutual Fund,0,Other,FoFs Overseas,3.4,18,10.3
ICICI Pru Income Optimizer Fund,1000,5000,0.26,272,10,Dharmesh Kakkad,5.43,5.75,3.85,0.47,2.37,3,ICICI Prudential Mutual Fund,5,Other,FoFs Domestic,7.8,13.3,8.8
ICICI Pru India Equity FOF – Direct Growth,100,500,0.88,62,3,Dharmesh Kakkad,3.95,6.83,15.57,0.84,1.71,6,ICICI Prudential Mutual Fund,5,Other,FoFs Domestic,4.9,32.2,
ICICI Pru India Opportunities Fund,100,5000,0.73,7644,4,Sankaran Naren,3.51,9.93,19.93,0.99,1.67,6,ICICI Prudential Mutual Fund,0,Equity,Sectoral / Thematic Mutual Funds,11.7,44.7,
ICICI Pru Infrastructure Fund,100,5000,1.64,2269,10,Ihab Dalwai,4.04,11.76,20.09,0.78,1.83,6,ICICI Prudential Mutual Fund,5,Equity,Sectoral / Thematic Mutual Funds,24.3,44,15.1
ICICI Pru Large & Mid Cap Fund,100,5000,1.09,7044,10,Ihab Dalwai,3.99,7.49,17.05,0.92,1.68,6,ICICI Prudential Mutual Fund,4,Equity,Large & Mid Cap Funds,9.5,33.2,13.7
ICICI Pru Liquid Fund,99,99,0.2,47245,10,Rahul Goswami,4.39,1.39,0.38,0.78,0.94,3,ICICI Prudential Mutual Fund,2,Debt,Liquid Mutual Funds,5.6,4.3,5.3
ICICI Pru Long Term Equity Fund,500,500,1.23,9819,10,Harish Bihani,0.06,6.9,4.06,5.04,0.04,6,ICICI Prudential Mutual Fund,3,Equity,ELSS Mutual Funds,-0.2,27.1,11.5
ICICI Pru Long Term Wealth Enhancement Fund,0,500,0.97,32,5,Rajat Chandak,3.33,0.78,16.64,0.95,1.39,6,ICICI Prudential Mutual Fund,0,Equity,ELSS Mutual Funds,-0.7,33.7,11.3
ICICI Pru Manufacturing Fund,100,5000,1.7,645,4,Anish Tawakley,3.44,7.67,17.45,0.94,1.71,6,ICICI Prudential Mutual Fund,0,Equity,Sectoral / Thematic Mutual Funds,8.6,35.6,
ICICI Pru Medium Term Bond Fund,1000,5000,0.77,6305,10,Manish Banthia,1.69,2.74,2.28,0.69,1.29,4,ICICI Prudential Mutual Fund,4,Debt,Medium Duration Funds,5.6,7.7,7.6
ICICI Pru MidCap Fund,100,5000,1.16,3492,10,Lalit Kumar,3.32,0.33,17.76,0.96,1.62,6,ICICI Prudential Mutual Fund,3,Equity,Mid Cap Mutual Funds,3.9,32.9,11.1
ICICI Pru Money Market Fund,100,500,0.21,11475,10,Rahul Goswami,4.38,2.82,0.67,1.25,1.72,3,ICICI Prudential Mutual Fund,3,Debt,Money Market Funds,5.5,5.4,6.1
ICICI Pru Multi-Asset Fund,100,5000,1.15,16449,10,Sankaran Naren,3.99,10.44,13.67,0.81,1.85,6,ICICI Prudential Mutual Fund,4,Hybrid,Multi Asset Allocation Mutual Funds,11.3,31.3,14.2
ICICI Pru Multicap Fund,100,5000,1.02,6929,10,Sankaran Naren,3.31,3.09,16.79,0.94,1.49,6,ICICI Prudential Mutual Fund,0,Equity,Multi Cap Funds,5.7,29.1,11.8
ICICI Pru Nifty 50 Index Fund,100,100,0.17,3977,10,Kayzad Eghlim,3.46,-0.72,16.8,1,1.3,6,ICICI Prudential Mutual Fund,3,Other,Index Funds,0.9,26.1,11.9
ICICI Pru Nifty Next 50 Index Fund,100,100,0.3,2415,10,Kayzad Eghlim,1.7,-4.7,18.11,0.98,0.97,6,ICICI Prudential Mutual Fund,1,Other,Index Funds,-6.4,22,6.1
ICICI Pru Overnight Fund,500,100,0.1,12837,4,Rahul Goswami,-0.25,0.54,0.35,0.42,-0.05,1,ICICI Prudential Mutual Fund,3,Debt,Overnight Mutual Funds,5.4,3.9,
ICICI Pru P.H.D Fund,100,5000,1.22,2538,5,Dharmesh Kakkad,2.68,3.7,21.09,0.96,1.03,6,ICICI Prudential Mutual Fund,0,Equity,Sectoral / Thematic Mutual Funds,-6,25,
ICICI Pru Passive Strategy Fund,1000,5000,0.06,93,10,Dharmesh Kakkad,3.11,1.99,14.83,0.84,1.46,6,ICICI Prudential Mutual Fund,3,Other,FoFs Domestic,4.9,26.3,10.9
ICICI Pru Regular Gold Savings Fund,100,100,0.09,671,10,Manish Banthia,1.1,-0.21,14,0.99,0.49,5,ICICI Prudential Mutual Fund,3,Other,FoFs Domestic,14.3,11.7,13.1
ICICI Pru Regular Savings Fund,100,5000,0.99,3212,10,Manish Banthia,3.57,3.21,3.41,0.5,2,4,ICICI Prudential Mutual Fund,5,Hybrid,Conservative Hybrid Mutual Funds,5.5,11.3,9
ICICI Pru Retirement Fund,100,5000,1.22,209,4,Lalit Kumar,2.78,2.63,11.88,0.78,1.44,6,ICICI Prudential Mutual Fund,5,Solution Oriented,Retirement Funds,0.1,31.3,
ICICI Pru Retirement Fund,100,5000,1.12,152,4,Lalit Kumar,2.43,1.02,4.45,0.64,1.26,6,ICICI Prudential Mutual Fund,3,Solution Oriented,Retirement Funds,1.7,32.4,13.3
ICICI Pru Retirement Fund,100,5000,1,59,4,Lalit Kumar,2.16,2.1,2.28,0.93,1.04,4,ICICI Prudential Mutual Fund,3,Solution Oriented,Retirement Funds,2,9.9,
ICICI Pru Retirement Fund,100,5000,1.29,175,4,Manish Banthia,3.51,8.42,15.15,0.75,1.71,3,ICICI Prudential Mutual Fund,3,Solution Oriented,Retirement Funds,4.6,6.8,
ICICI Pru S&P BSE Sensex Index Fund,100,100,0.16,694,6,Kayzad Eghlim,3.24,-1.12,16.97,1,1.27,6,ICICI Prudential Mutual Fund,4,Other,Index Funds,1.4,25.8,12.9
ICICI Pru Savings Fund,100,100,0.4,21144,10,Rahul Goswami,2.65,3,1.3,0.87,1.41,2,ICICI Prudential Mutual Fund,2,Debt,Low Duration Funds,5.7,6.2,6.7
ICICI Pru Short Term Fund,1000,5000,0.39,14561,10,Manish Banthia,3.78,4.86,1.7,1.42,1.75,3,ICICI Prudential Mutual Fund,4,Debt,Short Duration Funds,6.4,7.5,7.7
ICICI Pru Smallcap Fund,100,5000,0.81,4618,10,Harish Bihani,4.72,8.49,18.41,0.82,1.94,6,ICICI Prudential Mutual Fund,3,Equity,Small Cap Mutual Funds,7.7,41.8,14.9
ICICI Pru Technology Fund,100,5000,0.99,8993,10,Vaibhav Dusad,2.41,9.3,23.4,0.92,1.48,6,ICICI Prudential Mutual Fund,0,Equity,Sectoral / Thematic Mutual Funds,-19.7,45.3,21.6
ICICI Pru Thematic Advantage Fund,1000,5000,0.25,958,10,Dharmesh Kakkad,4.13,6.63,18.22,0.98,1.63,6,ICICI Prudential Mutual Fund,0,Other,FoFs Domestic,5.4,35.4,14.6
ICICI Pru Ultra Short Term Fund,1000,5000,0.39,12447,10,Manish Banthia,4.76,2.36,0.68,0.54,2.4,3,ICICI Prudential Mutual Fund,4,Debt,Ultra Short Duration Funds,5.7,5.9,6.7
ICICI Pru US Bluechip Equity Fund,100,5000,1.22,2365,10,Rohan Maru,1.69,-,19.18,-,0.88,6,ICICI Prudential Mutual Fund,0,Equity,Sectoral / Thematic Mutual Funds,4.8,23.4,15.9
ICICI Pru Value Discovery Fund,100,1000,1.22,27449,10,Sankaran Naren,4.4,11.82,14.61,0.8,2.04,6,ICICI Prudential Mutual Fund,4,Equity,Value Funds,8.9,36.9,14.9
IDBI Banking & Financial Services Fund,500,5000,1.5,81,5,Alok Ranjan,1.99,-1.2,22.62,0.86,0.88,6,IDBI Mutual Fund,2,Equity,Sectoral / Thematic Mutual Funds,4.8,20.3,
IDBI Credit Risk Fund,500,5000,0.61,22,9,Raju Sharma,3.09,3.08,6.23,-2.49,1.03,4,IDBI Mutual Fund,3,Debt,Credit Risk Funds,4.3,11.3,3.7
IDBI Dividend Yield Fund,500,5000,1.5,85,4,Alok Ranjan,2.79,1.29,14.28,0.81,1.43,6,IDBI Mutual Fund,0,Equity,Dividend Yield Funds,0.1,25.2,
IDBI Equity Advantage Fund,500,500,1.21,455,10,Alok Ranjan,2.4,-1.93,14.59,0.8,1.15,6,IDBI Mutual Fund,2,Equity,ELSS Mutual Funds,-0.7,33.7,11.3
IDBI Equity Savings Fund,500,5000,1.15,9.77,10,Alok Ranjan,2.48,0.39,7.12,1.05,1.11,4,IDBI Mutual Fund,2,Hybrid,Equity Savings Mutual Funds,2.5,11.8,7.2
IDBI Focused 30 Equity Fund,500,5000,1.61,125,5,Alok Ranjan,3.11,-0.57,16.02,0.94,1.29,6,IDBI Mutual Fund,3,Equity,Focused Funds,0.1,25.2,10.2
IDBI Gold Fund,500,5000,0.26,42,10,Nitin Dattaram Dalvi,0.82,-0.02,16.54,1,0.42,5,IDBI Mutual Fund,3,Other,FoFs Domestic,15,12.1,12.9
IDBI Healthcare Fund,500,5000,1.24,49,4,Alok Ranjan,1.57,-3.1,20.52,0.95,0.71,6,IDBI Mutual Fund,0,Equity,Sectoral / Thematic Mutual Funds,-13,17.1,
IDBI Hybrid Equity Fund,500,5000,1.67,171,6,Alok Ranjan,2.66,-0.86,11.4,0.78,1.18,6,IDBI Mutual Fund,2,Hybrid,Aggressive Hybrid Mutual Funds,-1.8,17.5,7
IDBI India Top 100 Equity Fund,500,5000,1.26,599,10,Alok Ranjan,2.94,0.51,15.82,0.93,1.36,6,IDBI Mutual Fund,4,Equity,Large Cap Mutual Funds,0.5,26,12.4
IDBI Liquid Fund,500,5000,0.13,763,10,Raju Sharma,5.73,1.43,0.36,0.75,1.19,2,IDBI Mutual Fund,4,Debt,Liquid Mutual Funds,5.6,4.4,5.4
IDBI Long Term Value Fund,500,5000,1.67,92,5,Alok Ranjan,2.89,1.21,16.51,0.94,1.36,6,IDBI Mutual Fund,2,Equity,Value Funds,-0.1,25.4,
IDBI Midcap Fund,500,5000,1.62,176,6,Alok Ranjan,2.57,-5.96,17.76,0.97,1.27,6,IDBI Mutual Fund,1,Equity,Mid Cap Mutual Funds,-2.9,25.1,7.7
IDBI Nifty 50 Index Fund,500,5000,0.32,188,10,Nisha Sharma,3.47,-0.9,16.78,1,1.29,6,IDBI Mutual Fund,3,Other,Index Funds,0.8,25.8,11.8
IDBI Nifty Next 50 Index Fund,500,5000,0.32,49,10,Nisha Sharma,1.71,-4.78,18.03,0.98,0.96,6,IDBI Mutual Fund,1,Other,Index Funds,-6.1,21.8,6.2
IDBI Short Term Bond Fund,500,5000,0.28,29,10,Raju Sharma,3.22,3.82,5,-0.57,0.92,2,IDBI Mutual Fund,4,Debt,Short Duration Funds,4.1,9.4,6.9
IDBI Small Cap Fund,500,5000,1.54,143,6,Alok Ranjan,4.09,8.16,16.34,0.71,1.95,6,IDBI Mutual Fund,3,Equity,Small Cap Mutual Funds,2.1,38.5,12.6
IDBI Ultra Short Term Fund,500,5000,0.25,198,10,Raju Sharma,1.68,1.14,0.72,0.15,1.29,2,IDBI Mutual Fund,3,Debt,Ultra Short Duration Funds,5.4,5.1,5.9
IIFL Dynamic Bond Fund,1000,10000,0.27,494,10,Milan Mody,1.63,1.61,1.86,0.6,0.96,3,IIFL Mutual Fund,4,Debt,Dynamic Bond,3.3,6,6.5
IIFL Focused Equity Fund,1000,1000,0.9,3416,8,Mayur Patel,3.39,3.78,16.2,0.91,1.56,6,IIFL Mutual Fund,5,Equity,Focused Funds,4.7,29.2,18.1
IIFL Liquid Fund,1000,5000,0.2,601,9,Milan Mody,0.19,0.87,0.39,0.64,0.04,3,IIFL Mutual Fund,2,Debt,Liquid Mutual Funds,5.5,3.9,4.8
Indiabulls Arbitrage Fund,1000,500,0.58,14,8,Sumit Bhatnagar,-1.04,0.18,0.67,0.54,-0.82,1,Indiabulls Mutual Fund,2,Hybrid,Arbitrage Mutual Funds,4.3,3.3,4.5
Indiabulls Bluechip Fund,500,500,1.27,91,10,Sumit Bhatnagar,2.23,-3.4,16.22,0.94,1.1,6,Indiabulls Mutual Fund,2,Equity,Large Cap Mutual Funds,2,21.3,9.5
Indiabulls Dynamic Bond Fund,500,500,0.36,25,4,Karan Singh,0.99,0.95,2.04,0.84,0.58,3,Indiabulls Mutual Fund,3,Debt,Dynamic Bond,4.2,5.2,
Indiabulls Equity Hybrid Fund,500,500,1.55,32,4,Sumit Bhatnagar,2.77,0.47,12.71,0.87,1.29,5,Indiabulls Mutual Fund,3,Hybrid,Aggressive Hybrid Mutual Funds,3.2,20.5,
Indiabulls Liquid Fund,500,500,0.22,212,10,Karan Singh,1.28,0.95,0.36,0.63,0.28,2,Indiabulls Mutual Fund,1,Debt,Liquid Mutual Funds,5.4,4,5.2
Indiabulls Overnight Fund,500,500,0.18,42,4,Karan Singh,-1.77,0.4,0.33,0.39,-0.36,1,Indiabulls Mutual Fund,1,Debt,Overnight Mutual Funds,5.2,3.8,
Indiabulls Short Term Fund,500,500,0.38,25,10,Karan Singh,1.15,4.88,1.55,2.83,0.7,3,Indiabulls Mutual Fund,2,Debt,Short Duration Funds,4.4,5.1,5.9
Indiabulls Tax Savings Fund,500,500,0.5,36,5,Sumit Bhatnagar,2.52,-2.36,15.09,0.88,1.21,6,Indiabulls Mutual Fund,2,Equity,ELSS Mutual Funds,1,22.3,7.8
Indiabulls Value Fund,500,500,0.5,9.71,8,Sumit Bhatnagar,2.9,-0.23,16.23,0.92,1.27,6,Indiabulls Mutual Fund,2,Equity,Value Funds,-0.2,25.6,6.3
Invesco India – Invesco GEI Fund,500,1000,0.73,12,9,Amit Nigam,1.58,-,17.74,-,1.01,6,Invesco Mutual Fund,0,Other,FoFs Overseas,9.5,24.4,9.5
Invesco India Arbitrage Fund,500,1000,0.38,3184,10,Deepak Gupta,2.16,1.77,0.71,0.53,1.5,1,Invesco Mutual Fund,5,Hybrid,Arbitrage Mutual Funds,6.4,5,5.6
Invesco India Banking & PSU Debt Fund,1000,1000,0.28,131,10,Vikas Garg,0.33,4.59,3.47,2.79,0.25,3,Invesco Mutual Fund,1,Debt,Banking and PSU Mutual Funds,2.3,5.8,6.4
Invesco India Contra Fund,500,1000,0.62,9347,10,Taher Badshah,3.5,2.27,16.24,0.94,1.45,6,Invesco Mutual Fund,4,Equity,Contra Funds,2.8,27.6,12.3
Invesco India Corporate Bond Fund,100,1000,0.28,2065,10,Vikas Garg,1.56,1.51,1.86,0.67,0.91,2,Invesco Mutual Fund,3,Debt,Corporate Bond Mutual Funds,3.7,6.4,6.9
Invesco India Credit Risk Fund,1000,1000,0.28,129,9,Vikas Garg,2.95,9.17,2.89,4.76,0.97,2,Invesco Mutual Fund,2,Debt,Credit Risk Funds,4.4,6,3.5
Invesco India Dynamic Equity Fund,500,1000,0.95,612,10,Amit Ganatra,2.84,0.76,9.2,0.59,1.27,6,Invesco Mutual Fund,2,Hybrid,Dynamic Asset Allocation or Balanced Advantage,3.9,15.4,7.4
Invesco India Equity & Bond Fund,500,1000,0.76,378,5,Dhimant Kothari,2.71,1.1,10.94,0.71,1.29,6,Invesco Mutual Fund,2,Hybrid,Aggressive Hybrid Mutual Funds,1.5,17.4,
